Rank,Nome,Score
1,Fullmetal Alchemist: Brotherhood,9.10
2,Steins;Gate,9.07
3,Bleach: Sennen Kessen-hen,9.06
4,Gintama°,9.06
5,Shingeki no Kyojin Season 3 Part 2,9.05
6,Gintama',9.04
7,Gintama: The Final,9.04
8,Hunter x Hunter (2011),9.04
9,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.04
10,Gintama': Enchousen,9.03
11,Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.03
12,Ginga Eiyuu Densetsu,9.02
13,Fruits Basket: The Final,9.00
14,Gintama.,8.98
15,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.96
16,Gintama,8.94
17,Koe no Katachi,8.94
18,3-gatsu no Lion 2nd Season,8.93
19,Clannad: After Story,8.93
20,Code Geass: Hangyaku no Lelouch R2,8.91
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91
22,Violet Evergarden Movie,8.89
23,Owarimonogatari 2nd Season,8.88
24,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88
25,Monster,8.87
26,Kimi no Na wa.,8.84
27,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.84
28,Bocchi the Rock!,8.83
29,The First Slam Dunk,8.82
30,Vinland Saga Season 2,8.82
31,Gintama.: Shirogane no Tamashii-hen,8.81
32,Jujutsu Kaisen 2nd Season,8.81
33,Kingdom 3rd Season,8.81
34,Mob Psycho 100 II,8.80
35,Shingeki no Kyojin: The Final Season,8.80
36,"""Oshi no Ko""",8.80
37,Kimetsu no Yaiba: Yuukaku-hen,8.79
38,Kizumonogatari III: Reiketsu-hen,8.79
39,Sen to Chihiro no Kamikakushi,8.78
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78
41,Monogatari Series: Second Season,8.77
42,Shingeki no Kyojin: The Final Season Part 2,8.77
43,Hajime no Ippo,8.76
44,Cowboy Bebop,8.75
45,Kingdom 4th Season,8.75
46,Vinland Saga,8.74
47,Mushishi Zoku Shou 2nd Season,8.73
48,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.73
49,Mob Psycho 100 III,8.72
50,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71
51,86 Part 2,8.71
52,Ashita no Joe 2,8.71
53,Code Geass: Hangyaku no Lelouch,8.70
54,Mushishi Zoku Shou,8.70
55,One Piece,8.70
56,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.69
57,Shiguang Dailiren,8.69
58,Great Teacher Onizuka,8.69
59,Bungou Stray Dogs 5th Season,8.68
60,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.68
61,Odd Taxi,8.68
62,Mononoke Hime,8.67
63,Violet Evergarden,8.67
64,Made in Abyss,8.66
65,Made in Abyss: Retsujitsu no Ougonkyou,8.66
66,Mushishi,8.66
67,Hajime no Ippo: New Challenger,8.66
68,Howl no Ugoku Shiro,8.66
69,Shigatsu wa Kimi no Uso,8.65
70,Natsume Yuujinchou Shi,8.64
71,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64
72,Haikyuu!! Second Season,8.63
73,Jujutsu Kaisen,8.63
74,Tengen Toppa Gurren Lagann,8.63
75,Death Note,8.62
76,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.62
77,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.62
78,Natsume Yuujinchou Roku,8.62
79,Ping Pong the Animation,8.62
80,Shingeki no Kyojin Season 3,8.62
81,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.61
82,Suzumiya Haruhi no Shoushitsu,8.61
83,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.60
84,Spy x Family,8.60
85,Cyberpunk: Edgerunners,8.60
86,Evangelion: 3.0+1.0 Thrice Upon a Time,8.60
87,Hajime no Ippo: Rising,8.60
88,Mushishi Zoku Shou: Suzu no Shizuku,8.59
89,Mushoku Tensei II: Isekai Ittara Honki Dasu,8.59
90,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58
91,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57
92,Kenpuu Denki Berserk,8.57
93,Kizumonogatari II: Nekketsu-hen,8.57
94,Natsume Yuujinchou Go,8.57
95,Natsume Yuujinchou San,8.57
96,Ookami Kodomo no Ame to Yuki,8.57
97,Shouwa Genroku Rakugo Shinjuu,8.57
98,Kimi no Suizou wo Tabetai,8.56
99,Chainsaw Man,8.56
100,Yojouhan Shinwa Taikei,8.56
101,Zoku Natsume Yuujinchou,8.55
102,Neon Genesis Evangelion: The End of Evangelion,8.55
103,Shoujo☆Kageki Revue Starlight Movie,8.55
104,Fate/Zero 2nd Season,8.55
105,Fruits Basket 2nd Season,8.55
106,Haikyuu!! To the Top Part 2,8.54
107,Mushishi: Hihamukage,8.54
108,Nana,8.54
109,Ousama Ranking,8.54
110,Perfect Blue,8.54
111,Shingeki no Kyojin,8.54
112,Slam Dunk,8.54
113,Steins;Gate 0,8.53
114,Yuru Camp△ Season 2,8.53
115,Bakuman. 3rd Season,8.53
116,Gintama Movie 1: Shinyaku Benizakura-hen,8.52
117,Gintama.: Porori-hen,8.52
118,Kara no Kyoukai Movie 5: Mujun Rasen,8.52
119,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52
120,Sora yori mo Tooi Basho,8.52
121,Karakai Jouzu no Takagi-san Movie,8.51
122,Samurai Champloo,8.51
123,Shingeki no Kyojin Season 2,8.51
124,Hotaru no Haka,8.51
125,Yakusoku no Neverland,8.51
126,Summertime Render,8.50
127,Uchuu Kyoudai,8.50
128,Kimetsu no Yaiba,8.50
129,One Punch Man,8.50
130,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.50
131,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50
132,Ansatsu Kyoushitsu 2nd Season,8.49
133,Mob Psycho 100,8.49
134,Mo Dao Zu Shi: Wanjie Pian,8.48
135,Rainbow: Nisha Rokubou no Shichinin,8.48
136,Aria the Origination,8.48
137,Banana Fish,8.48
138,Chihayafuru 3,8.47
139,Gintama: The Semi-Final,8.47
140,Jujutsu Kaisen 0 Movie,8.47
141,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.47
142,Road of Naruto,8.47
143,Nichijou,8.46
144,Yuru Camp△ Movie,8.46
145,Yuu☆Yuu☆Hakusho,8.46
146,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45
147,Zoku Owarimonogatari,8.45
148,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.45
149,Owarimonogatari,8.45
150,Bungou Stray Dogs 4th Season,8.45
